case_id,part_id,part_type,line,activity,area,resource,timestamp,duration_minutes
WO-0020,PART-1400,Valve Body,Line-A,Shipment,SHIP,Dock-01,2024-06-12 02:50:00,0
WO-0069,PART-3868,Manifold,Line-C,Shipment,SHIP,Dock-01,2024-06-12 02:51:00,0
WO-0170,PART-2890,Rotor,Line-C,Shipment,SHIP,Dock-01,2024-06-12 02:58:00,0
WO-0112,PART-9537,Manifold,Line-B,Quality Check,QC,QA-02,2024-06-12 03:02:00,35
WO-0224,PART-9331,Valve Body,Line-B,Surface Prep,PREP,Prep-01,2024-06-12 03:22:00,15
WO-0224,PART-9331,Valve Body,Line-B,Assembly,ASM,Cell-02,2024-06-12 03:46:00,107
WO-0112,PART-9537,Manifold,Line-B,Packaging,PKG,Pack-02,2024-06-12 03:56:00,15
WO-0143,PART-6536,Bracket,Line-C,Quality Check,QC,QA-05,2024-06-12 04:13:00,54
WO-0269,PART-7152,Pump Housing,Line-A,Shipment,SHIP,Dock-01,2024-06-12 04:21:00,0
WO-0143,PART-6536,Bracket,Line-C,Packaging,PKG,Pack-02,2024-06-12 05:30:00,19
WO-0112,PART-9537,Manifold,Line-B,Shipment,SHIP,Dock-01,2024-06-12 05:39:00,0
WO-0224,PART-9331,Valve Body,Line-B,Quality Check,QC,QA-05,2024-06-12 05:45:00,51
WO-0028,PART-7209,Rotor,Line-A,Cutting,CUT,Laser-02,2024-06-12 05:57:00,33
WO-0143,PART-6536,Bracket,Line-C,Material Hold,HOLD,Planner,2024-06-12 05:58:00,321
WO-0028,PART-7209,Rotor,Line-A,CNC Machining,CNC,CNC-15,2024-06-12 06:40:00,73
WO-0141,PART-4619,Bracket,Line-A,Cutting,CUT,Laser-02,2024-06-12 06:58:00,35
WO-0224,PART-9331,Valve Body,Line-B,Packaging,PKG,Pack-01,2024-06-12 07:01:00,15
WO-0056,PART-6375,Valve Body,Line-A,Cutting,CUT,Laser-01,2024-06-12 07:38:00,44
WO-0141,PART-4619,Bracket,Line-A,CNC Machining,CNC,CNC-19,2024-06-12 07:45:00,51
WO-0028,PART-7209,Rotor,Line-A,Surface Prep,PREP,Prep-03,2024-06-12 08:14:00,37
WO-0198,PART-6621,Rotor,Line-A,Cutting,CUT,Laser-02,2024-06-12 08:23:00,43
WO-0224,PART-9331,Valve Body,Line-B,Shipment,SHIP,Dock-01,2024-06-12 08:24:00,0
WO-0056,PART-6375,Valve Body,Line-A,CNC Machining,CNC,CNC-19,2024-06-12 08:40:00,101
WO-0141,PART-4619,Bracket,Line-A,Surface Prep,PREP,Prep-03,2024-06-12 08:40:00,41
WO-0028,PART-7209,Rotor,Line-A,Assembly,ASM,Cell-04,2024-06-12 09:10:00,41
WO-0198,PART-6621,Rotor,Line-A,CNC Machining,CNC,CNC-15,2024-06-12 09:20:00,65
WO-0141,PART-4619,Bracket,Line-A,Assembly,ASM,Cell-02,2024-06-12 09:37:00,41
WO-0028,PART-7209,Rotor,Line-A,Quality Check,QC,QA-02,2024-06-12 09:59:00,25
WO-0197,PART-8836,Bracket,Line-A,Cutting,CUT,Laser-02,2024-06-12 10:25:00,31
WO-0141,PART-4619,Bracket,Line-A,Assembly Rework,ASM,Cell-04,2024-06-12 10:26:00,40
WO-0198,PART-6621,Rotor,Line-A,Surface Prep,PREP,Prep-01,2024-06-12 10:32:00,33
WO-0056,PART-6375,Valve Body,Line-A,Surface Prep,PREP,Prep-03,2024-06-12 10:34:00,17
WO-0177,PART-1745,Valve Body,Line-B,Cutting,CUT,Laser-01,2024-06-12 10:36:00,39
WO-0028,PART-7209,Rotor,Line-A,Packaging,PKG,Pack-02,2024-06-12 10:49:00,23
WO-0197,PART-8836,Bracket,Line-A,CNC Machining,CNC,CNC-19,2024-06-12 11:01:00,119
WO-0141,PART-4619,Bracket,Line-A,Quality Check,QC,QA-05,2024-06-12 11:10:00,42
WO-0056,PART-6375,Valve Body,Line-A,Assembly,ASM,Cell-02,2024-06-12 11:16:00,45
WO-0198,PART-6621,Rotor,Line-A,Assembly,ASM,Cell-01,2024-06-12 11:25:00,127
WO-0177,PART-1745,Valve Body,Line-B,CNC Machining,CNC,CNC-15,2024-06-12 11:26:00,86
WO-0159,PART-4460,Valve Body,Line-C,Cutting,CUT,Laser-02,2024-06-12 11:35:00,22
WO-0141,PART-4619,Bracket,Line-A,Packaging,PKG,Pack-01,2024-06-12 11:57:00,10
WO-0056,PART-6375,Valve Body,Line-A,Quality Check,QC,QA-02,2024-06-12 12:03:00,49
WO-0159,PART-4460,Valve Body,Line-C,CNC Machining,CNC,CNC-19,2024-06-12 12:19:00,62
WO-0028,PART-7209,Rotor,Line-A,Shipment,SHIP,Dock-01,2024-06-12 12:41:00,0
WO-0143,PART-6536,Bracket,Line-C,Shipment,SHIP,Dock-01,2024-06-12 12:42:00,0
WO-0060,PART-2479,Bracket,Line-C,Cutting,CUT,Laser-02,2024-06-12 12:55:00,22
WO-0056,PART-6375,Valve Body,Line-A,Packaging,PKG,Pack-02,2024-06-12 13:04:00,28
WO-0177,PART-1745,Valve Body,Line-B,Surface Prep,PREP,Prep-01,2024-06-12 13:06:00,41
WO-0197,PART-8836,Bracket,Line-A,Surface Prep,PREP,Prep-01,2024-06-12 13:16:00,25
WO-0141,PART-4619,Bracket,Line-A,Shipment,SHIP,Dock-01,2024-06-12 13:24:00,0
WO-0060,PART-2479,Bracket,Line-C,CNC Machining,CNC,CNC-12,2024-06-12 13:37:00,113
WO-0198,PART-6621,Rotor,Line-A,Quality Check,QC,QA-02,2024-06-12 13:37:00,37
WO-0159,PART-4460,Valve Body,Line-C,Surface Prep,PREP,Prep-01,2024-06-12 13:42:00,16
WO-0197,PART-8836,Bracket,Line-A,Assembly,ASM,Cell-01,2024-06-12 13:43:00,126
WO-0177,PART-1745,Valve Body,Line-B,Assembly,ASM,Cell-04,2024-06-12 14:04:00,60
WO-0159,PART-4460,Valve Body,Line-C,Assembly,ASM,Cell-04,2024-06-12 14:21:00,53
WO-0198,PART-6621,Rotor,Line-A,Packaging,PKG,Pack-02,2024-06-12 14:33:00,23
WO-0056,PART-6375,Valve Body,Line-A,Shipment,SHIP,Dock-01,2024-06-12 14:55:00,0
WO-0177,PART-1745,Valve Body,Line-B,Assembly Rework,ASM,Cell-04,2024-06-12 15:13:00,33
WO-0159,PART-4460,Valve Body,Line-C,Assembly Rework,ASM,Cell-04,2024-06-12 15:16:00,28
WO-0198,PART-6621,Rotor,Line-A,Shipment,SHIP,Dock-01,2024-06-12 15:33:00,0
WO-0060,PART-2479,Bracket,Line-C,Surface Prep,PREP,Prep-03,2024-06-12 15:42:00,34
WO-0159,PART-4460,Valve Body,Line-C,Quality Check,QC,QA-05,2024-06-12 15:49:00,46
WO-0177,PART-1745,Valve Body,Line-B,Quality Check,QC,QA-05,2024-06-12 16:00:00,54
WO-0197,PART-8836,Bracket,Line-A,Assembly Rework,ASM,Cell-01,2024-06-12 16:03:00,62
WO-0060,PART-2479,Bracket,Line-C,Assembly,ASM,Cell-01,2024-06-12 16:34:00,59
WO-0159,PART-4460,Valve Body,Line-C,Packaging,PKG,Pack-02,2024-06-12 16:49:00,13
WO-0177,PART-1745,Valve Body,Line-B,Packaging,PKG,Pack-02,2024-06-12 17:16:00,14
WO-0197,PART-8836,Bracket,Line-A,Quality Check,QC,QA-05,2024-06-12 17:17:00,43
WO-0060,PART-2479,Bracket,Line-C,Quality Check,QC,QA-05,2024-06-12 17:49:00,26
WO-0159,PART-4460,Valve Body,Line-C,Shipment,SHIP,Dock-01,2024-06-12 17:55:00,0
WO-0197,PART-8836,Bracket,Line-A,Packaging,PKG,Pack-02,2024-06-12 18:07:00,27
WO-0146,PART-1568,Bracket,Line-C,Cutting,CUT,Laser-01,2024-06-12 18:15:00,59
WO-0060,PART-2479,Bracket,Line-C,Packaging,PKG,Pack-01,2024-06-12 18:39:00,12
WO-0177,PART-1745,Valve Body,Line-B,Shipment,SHIP,Dock-01,2024-06-12 18:50:00,0
WO-0146,PART-1568,Bracket,Line-C,CNC Machining,CNC,CNC-12,2024-06-12 19:19:00,87
WO-0060,PART-2479,Bracket,Line-C,Shipment,SHIP,Dock-01,2024-06-12 20:00:00,0
WO-0197,PART-8836,Bracket,Line-A,Shipment,SHIP,Dock-01,2024-06-12 20:11:00,0
WO-0276,PART-9131,Pump Housing,Line-A,Cutting,CUT,Laser-01,2024-06-12 20:21:00,46
WO-0146,PART-1568,Bracket,Line-C,Surface Prep,PREP,Prep-01,2024-06-12 20:53:00,21
WO-0146,PART-1568,Bracket,Line-C,Assembly,ASM,Cell-02,2024-06-12 21:20:00,45
WO-0276,PART-9131,Pump Housing,Line-A,CNC Machining,CNC,CNC-15,2024-06-12 21:24:00,74
WO-0164,PART-4669,Rotor,Line-C,Cutting,CUT,Laser-01,2024-06-12 21:41:00,47
WO-0146,PART-1568,Bracket,Line-C,Quality Check,QC,QA-02,2024-06-12 22:09:00,47
WO-0235,PART-6393,Bracket,Line-B,Cutting,CUT,Laser-01,2024-06-12 22:31:00,23
WO-0164,PART-4669,Rotor,Line-C,CNC Machining,CNC,CNC-19,2024-06-12 22:45:00,74
WO-0276,PART-9131,Pump Housing,Line-A,Surface Prep,PREP,Prep-01,2024-06-12 22:54:00,38
WO-0235,PART-6393,Bracket,Line-B,CNC Machining,CNC,CNC-19,2024-06-12 23:14:00,110
WO-0146,PART-1568,Bracket,Line-C,Packaging,PKG,Pack-02,2024-06-12 23:18:00,14
WO-0276,PART-9131,Pump Housing,Line-A,Assembly,ASM,Cell-01,2024-06-12 23:43:00,64
WO-0146,PART-1568,Bracket,Line-C,Shipment,SHIP,Dock-01,2024-06-13 00:02:00,0
WO-0164,PART-4669,Rotor,Line-C,Surface Prep,PREP,Prep-03,2024-06-13 00:22:00,35
WO-0276,PART-9131,Pump Housing,Line-A,Quality Check,QC,QA-05,2024-06-13 00:49:00,34
WO-0164,PART-4669,Rotor,Line-C,Assembly,ASM,Cell-04,2024-06-13 01:03:00,147
WO-0235,PART-6393,Bracket,Line-B,Surface Prep,PREP,Prep-03,2024-06-13 01:08:00,30
WO-0276,PART-9131,Pump Housing,Line-A,Packaging,PKG,Pack-02,2024-06-13 01:38:00,28
WO-0235,PART-6393,Bracket,Line-B,Assembly,ASM,Cell-02,2024-06-13 01:53:00,117
WO-0276,PART-9131,Pump Housing,Line-A,Manual Repair,ASM,Cell-02,2024-06-13 02:28:00,112
WO-0084,PART-6140,Pump Housing,Line-B,Cutting,CUT,Laser-02,2024-06-13 03:09:00,36
WO-0164,PART-4669,Rotor,Line-C,Quality Check,QC,QA-02,2024-06-13 03:51:00,23
WO-0084,PART-6140,Pump Housing,Line-B,CNC Machining,CNC,CNC-15,2024-06-13 03:53:00,61
WO-0235,PART-6393,Bracket,Line-B,Assembly Rework,ASM,Cell-04,2024-06-13 04:00:00,58
WO-0164,PART-4669,Rotor,Line-C,Packaging,PKG,Pack-02,2024-06-13 04:36:00,15
WO-0091,PART-9281,Pump Housing,Line-C,Cutting,CUT,Laser-02,2024-06-13 05:05:00,53
WO-0084,PART-6140,Pump Housing,Line-B,Surface Prep,PREP,Prep-01,2024-06-13 05:13:00,24
WO-0235,PART-6393,Bracket,Line-B,Quality Check,QC,QA-02,2024-06-13 05:19:00,42
WO-0093,PART-6697,Valve Body,Line-A,Cutting,CUT,Laser-01,2024-06-13 05:24:00,34
WO-0164,PART-4669,Rotor,Line-C,Shipment,SHIP,Dock-01,2024-06-13 05:27:00,0
WO-0047,PART-2902,Valve Body,Line-A,Cutting,CUT,Laser-02,2024-06-13 05:34:00,54
WO-0084,PART-6140,Pump Housing,Line-B,Assembly,ASM,Cell-02,2024-06-13 05:48:00,138
WO-0276,PART-9131,Pump Housing,Line-A,Shipment,SHIP,Dock-01,2024-06-13 05:54:00,0
WO-0093,PART-6697,Valve Body,Line-A,CNC Machining,CNC,CNC-15,2024-06-13 06:00:00,68
WO-0091,PART-9281,Pump Housing,Line-C,CNC Machining,CNC,CNC-12,2024-06-13 06:03:00,117
WO-0235,PART-6393,Bracket,Line-B,Packaging,PKG,Pack-02,2024-06-13 06:22:00,28
WO-0047,PART-2902,Valve Body,Line-A,CNC Machining,CNC,CNC-15,2024-06-13 06:48:00,49
WO-0093,PART-6697,Valve Body,Line-A,Surface Prep,PREP,Prep-03,2024-06-13 07:31:00,38
WO-0047,PART-2902,Valve Body,Line-A,Surface Prep,PREP,Prep-03,2024-06-13 07:59:00,18
WO-0242,PART-9422,Valve Body,Line-A,Cutting,CUT,Laser-02,2024-06-13 08:17:00,29
WO-0235,PART-6393,Bracket,Line-B,Shipment,SHIP,Dock-01,2024-06-13 08:21:00,0
WO-0091,PART-9281,Pump Housing,Line-C,Surface Prep,PREP,Prep-03,2024-06-13 08:24:00,33
WO-0093,PART-6697,Valve Body,Line-A,Assembly,ASM,Cell-01,2024-06-13 08:28:00,88
WO-0084,PART-6140,Pump Housing,Line-B,Assembly Rework,ASM,Cell-04,2024-06-13 08:30:00,38
WO-0047,PART-2902,Valve Body,Line-A,Assembly,ASM,Cell-02,2024-06-13 08:38:00,92
WO-0091,PART-9281,Pump Housing,Line-C,Assembly,ASM,Cell-02,2024-06-13 09:01:00,105
WO-0242,PART-9422,Valve Body,Line-A,CNC Machining,CNC,CNC-12,2024-06-13 09:06:00,61
WO-0084,PART-6140,Pump Housing,Line-B,Quality Check,QC,QA-05,2024-06-13 09:32:00,51
WO-0093,PART-6697,Valve Body,Line-A,Quality Check,QC,QA-05,2024-06-13 10:05:00,49
WO-0242,PART-9422,Valve Body,Line-A,Surface Prep,PREP,Prep-03,2024-06-13 10:11:00,24
WO-0047,PART-2902,Valve Body,Line-A,Assembly Rework,ASM,Cell-02,2024-06-13 10:13:00,69
WO-0172,PART-4695,Rotor,Line-C,Cutting,CUT,Laser-02,2024-06-13 10:31:00,32
WO-0084,PART-6140,Pump Housing,Line-B,Packaging,PKG,Pack-02,2024-06-13 10:40:00,21
WO-0091,PART-9281,Pump Housing,Line-C,Assembly Rework,ASM,Cell-01,2024-06-13 10:49:00,54
WO-0242,PART-9422,Valve Body,Line-A,Assembly,ASM,Cell-01,2024-06-13 10:54:00,96
WO-0093,PART-6697,Valve Body,Line-A,Packaging,PKG,Pack-01,2024-06-13 11:00:00,18
WO-0172,PART-4695,Rotor,Line-C,CNC Machining,CNC,CNC-19,2024-06-13 11:19:00,52
WO-0047,PART-2902,Valve Body,Line-A,Quality Check,QC,QA-05,2024-06-13 11:30:00,48
WO-0093,PART-6697,Valve Body,Line-A,Manual Repair,ASM,Cell-01,2024-06-13 11:43:00,44
WO-0091,PART-9281,Pump Housing,Line-C,Quality Check,QC,QA-05,2024-06-13 12:01:00,46
WO-0172,PART-4695,Rotor,Line-C,Surface Prep,PREP,Prep-01,2024-06-13 12:15:00,20
WO-0047,PART-2902,Valve Body,Line-A,Packaging,PKG,Pack-01,2024-06-13 12:27:00,21
WO-0084,PART-6140,Pump Housing,Line-B,Shipment,SHIP,Dock-01,2024-06-13 12:31:00,0
WO-0242,PART-9422,Valve Body,Line-A,Quality Check,QC,QA-05,2024-06-13 12:36:00,21
WO-0172,PART-4695,Rotor,Line-C,Assembly,ASM,Cell-01,2024-06-13 13:00:00,105
WO-0093,PART-6697,Valve Body,Line-A,Shipment,SHIP,Dock-01,2024-06-13 13:02:00,0
WO-0151,PART-3909,Manifold,Line-C,Cutting,CUT,Laser-01,2024-06-13 13:06:00,36
WO-0091,PART-9281,Pump Housing,Line-C,Packaging,PKG,Pack-02,2024-06-13 13:07:00,11
WO-0242,PART-9422,Valve Body,Line-A,Packaging,PKG,Pack-01,2024-06-13 13:20:00,11
WO-0242,PART-9422,Valve Body,Line-A,Material Hold,HOLD,Planner,2024-06-13 13:45:00,338
WO-0151,PART-3909,Manifold,Line-C,CNC Machining,CNC,CNC-15,2024-06-13 13:53:00,33
WO-0091,PART-9281,Pump Housing,Line-C,Shipment,SHIP,Dock-01,2024-06-13 13:53:00,0
WO-0047,PART-2902,Valve Body,Line-A,Shipment,SHIP,Dock-01,2024-06-13 14:06:00,0
WO-0151,PART-3909,Manifold,Line-C,Surface Prep,PREP,Prep-01,2024-06-13 14:29:00,20
WO-0008,PART-6539,Valve Body,Line-C,Cutting,CUT,Laser-01,2024-06-13 14:30:00,24
WO-0106,PART-1430,Valve Body,Line-B,Cutting,CUT,Laser-02,2024-06-13 14:40:00,40
WO-0151,PART-3909,Manifold,Line-C,Assembly,ASM,Cell-01,2024-06-13 14:58:00,122
WO-0172,PART-4695,Rotor,Line-C,Quality Check,QC,QA-05,2024-06-13 14:59:00,22
WO-0008,PART-6539,Valve Body,Line-C,CNC Machining,CNC,CNC-12,2024-06-13 15:03:00,38
WO-0106,PART-1430,Valve Body,Line-B,CNC Machining,CNC,CNC-15,2024-06-13 15:22:00,67
WO-0172,PART-4695,Rotor,Line-C,Packaging,PKG,Pack-02,2024-06-13 15:31:00,27
WO-0217,PART-5521,Bracket,Line-C,Cutting,CUT,Laser-01,2024-06-13 15:49:00,26
WO-0008,PART-6539,Valve Body,Line-C,Surface Prep,PREP,Prep-01,2024-06-13 15:53:00,17
WO-0008,PART-6539,Valve Body,Line-C,Assembly,ASM,Cell-02,2024-06-13 16:20:00,125
WO-0200,PART-6914,Rotor,Line-C,Cutting,CUT,Laser-02,2024-06-13 16:27:00,21
WO-0217,PART-5521,Bracket,Line-C,CNC Machining,CNC,CNC-12,2024-06-13 16:31:00,75
WO-0106,PART-1430,Valve Body,Line-B,Surface Prep,PREP,Prep-01,2024-06-13 16:43:00,39
WO-0172,PART-4695,Rotor,Line-C,Shipment,SHIP,Dock-01,2024-06-13 16:46:00,0
WO-0215,PART-3931,Bracket,Line-C,Cutting,CUT,Laser-02,2024-06-13 16:49:00,60
WO-0200,PART-6914,Rotor,Line-C,CNC Machining,CNC,CNC-19,2024-06-13 16:53:00,74
WO-0190,PART-8904,Pump Housing,Line-B,Cutting,CUT,Laser-02,2024-06-13 17:20:00,39
WO-0151,PART-3909,Manifold,Line-C,Assembly Rework,ASM,Cell-02,2024-06-13 17:23:00,38
WO-0106,PART-1430,Valve Body,Line-B,Assembly,ASM,Cell-01,2024-06-13 17:47:00,111
WO-0217,PART-5521,Bracket,Line-C,Surface Prep,PREP,Prep-03,2024-06-13 17:52:00,23
WO-0215,PART-3931,Bracket,Line-C,CNC Machining,CNC,CNC-19,2024-06-13 18:12:00,88
WO-0190,PART-8904,Pump Housing,Line-B,CNC Machining,CNC,CNC-19,2024-06-13 18:23:00,80
WO-0151,PART-3909,Manifold,Line-C,Quality Check,QC,QA-02,2024-06-13 18:23:00,46
WO-0200,PART-6914,Rotor,Line-C,Surface Prep,PREP,Prep-01,2024-06-13 18:28:00,21
WO-0008,PART-6539,Valve Body,Line-C,Assembly Rework,ASM,Cell-01,2024-06-13 18:33:00,59
WO-0217,PART-5521,Bracket,Line-C,Assembly,ASM,Cell-01,2024-06-13 18:35:00,71
WO-0200,PART-6914,Rotor,Line-C,Assembly,ASM,Cell-02,2024-06-13 19:00:00,85
WO-0082,PART-9721,Manifold,Line-C,Cutting,CUT,Laser-02,2024-06-13 19:25:00,43
WO-0151,PART-3909,Manifold,Line-C,Packaging,PKG,Pack-02,2024-06-13 19:32:00,10
WO-0190,PART-8904,Pump Housing,Line-B,Surface Prep,PREP,Prep-01,2024-06-13 19:49:00,42
WO-0217,PART-5521,Bracket,Line-C,Quality Check,QC,QA-02,2024-06-13 19:56:00,39
WO-0008,PART-6539,Valve Body,Line-C,Quality Check,QC,QA-05,2024-06-13 19:57:00,56
WO-0106,PART-1430,Valve Body,Line-B,Assembly Rework,ASM,Cell-01,2024-06-13 19:58:00,58
WO-0215,PART-3931,Bracket,Line-C,Surface Prep,PREP,Prep-01,2024-06-13 20:03:00,28
WO-0242,PART-9422,Valve Body,Line-A,Shipment,SHIP,Dock-01,2024-06-13 20:23:00,0
WO-0082,PART-9721,Manifold,Line-C,CNC Machining,CNC,CNC-15,2024-06-13 20:31:00,44
WO-0215,PART-3931,Bracket,Line-C,Assembly,ASM,Cell-01,2024-06-13 20:38:00,141
WO-0200,PART-6914,Rotor,Line-C,Quality Check,QC,QA-05,2024-06-13 20:48:00,52
WO-0217,PART-5521,Bracket,Line-C,Packaging,PKG,Pack-01,2024-06-13 20:55:00,22
WO-0190,PART-8904,Pump Housing,Line-B,Assembly,ASM,Cell-02,2024-06-13 20:56:00,69
WO-0008,PART-6539,Valve Body,Line-C,Packaging,PKG,Pack-02,2024-06-13 21:02:00,25
WO-0151,PART-3909,Manifold,Line-C,Shipment,SHIP,Dock-01,2024-06-13 21:14:00,0
WO-0106,PART-1430,Valve Body,Line-B,Quality Check,QC,QA-02,2024-06-13 21:19:00,44
WO-0008,PART-6539,Valve Body,Line-C,Material Hold,HOLD,Planner,2024-06-13 21:35:00,457
WO-0082,PART-9721,Manifold,Line-C,Surface Prep,PREP,Prep-01,2024-06-13 21:35:00,24
WO-0217,PART-5521,Bracket,Line-C,Material Hold,HOLD,Planner,2024-06-13 21:42:00,286
WO-0200,PART-6914,Rotor,Line-C,Packaging,PKG,Pack-01,2024-06-13 22:05:00,24
WO-0106,PART-1430,Valve Body,Line-B,Packaging,PKG,Pack-02,2024-06-13 22:09:00,18
WO-0082,PART-9721,Manifold,Line-C,Assembly,ASM,Cell-02,2024-06-13 22:20:00,100
WO-0190,PART-8904,Pump Housing,Line-B,Quality Check,QC,QA-02,2024-06-13 22:29:00,30
WO-0150,PART-7609,Pump Housing,Line-C,Cutting,CUT,Laser-01,2024-06-13 22:34:00,32
WO-0106,PART-1430,Valve Body,Line-B,Shipment,SHIP,Dock-01,2024-06-13 22:55:00,0
WO-0190,PART-8904,Pump Housing,Line-B,Packaging,PKG,Pack-02,2024-06-13 23:07:00,26
WO-0150,PART-7609,Pump Housing,Line-C,CNC Machining,CNC,CNC-15,2024-06-13 23:15:00,34
WO-0215,PART-3931,Bracket,Line-C,Quality Check,QC,QA-05,2024-06-13 23:18:00,45
WO-0150,PART-7609,Pump Housing,Line-C,Surface Prep,PREP,Prep-03,2024-06-13 23:52:00,44
WO-0200,PART-6914,Rotor,Line-C,Shipment,SHIP,Dock-01,2024-06-13 23:52:00,0
WO-0082,PART-9721,Manifold,Line-C,Assembly Rework,ASM,Cell-04,2024-06-14 00:22:00,75
WO-0215,PART-3931,Bracket,Line-C,Packaging,PKG,Pack-02,2024-06-14 00:26:00,15
WO-0215,PART-3931,Bracket,Line-C,Manual Repair,ASM,Cell-04,2024-06-14 00:54:00,70
WO-0150,PART-7609,Pump Housing,Line-C,Assembly,ASM,Cell-02,2024-06-14 01:00:00,65
WO-0190,PART-8904,Pump Housing,Line-B,Shipment,SHIP,Dock-01,2024-06-14 01:13:00,0
WO-0252,PART-8438,Bracket,Line-B,Cutting,CUT,Laser-02,2024-06-14 01:27:00,38
WO-0115,PART-7852,Bracket,Line-A,Cutting,CUT,Laser-01,2024-06-14 01:55:00,60
WO-0082,PART-9721,Manifold,Line-C,Quality Check,QC,QA-02,2024-06-14 01:57:00,34
WO-0252,PART-8438,Bracket,Line-B,CNC Machining,CNC,CNC-19,2024-06-14 02:12:00,34
WO-0150,PART-7609,Pump Housing,Line-C,Assembly Rework,ASM,Cell-02,2024-06-14 02:18:00,77
WO-0082,PART-9721,Manifold,Line-C,Packaging,PKG,Pack-01,2024-06-14 02:51:00,25
WO-0252,PART-8438,Bracket,Line-B,Surface Prep,PREP,Prep-03,2024-06-14 03:07:00,38
WO-0115,PART-7852,Bracket,Line-A,CNC Machining,CNC,CNC-15,2024-06-14 03:14:00,51
WO-0215,PART-3931,Bracket,Line-C,Shipment,SHIP,Dock-01,2024-06-14 03:18:00,0
WO-0217,PART-5521,Bracket,Line-C,Shipment,SHIP,Dock-01,2024-06-14 03:39:00,0
WO-0150,PART-7609,Pump Housing,Line-C,Quality Check,QC,QA-02,2024-06-14 03:53:00,45
WO-0252,PART-8438,Bracket,Line-B,Assembly,ASM,Cell-04,2024-06-14 04:10:00,140
WO-0115,PART-7852,Bracket,Line-A,Surface Prep,PREP,Prep-01,2024-06-14 04:16:00,19
WO-0271,PART-5060,Rotor,Line-B,Cutting,CUT,Laser-01,2024-06-14 04:27:00,29
WO-0115,PART-7852,Bracket,Line-A,Assembly,ASM,Cell-02,2024-06-14 04:47:00,147
WO-0251,PART-8917,Rotor,Line-A,Cutting,CUT,Laser-02,2024-06-14 04:54:00,29
WO-0150,PART-7609,Pump Housing,Line-C,Packaging,PKG,Pack-01,2024-06-14 05:01:00,10
WO-0082,PART-9721,Manifold,Line-C,Shipment,SHIP,Dock-01,2024-06-14 05:03:00,0
WO-0271,PART-5060,Rotor,Line-B,CNC Machining,CNC,CNC-12,2024-06-14 05:11:00,35
WO-0251,PART-8917,Rotor,Line-A,CNC Machining,CNC,CNC-12,2024-06-14 05:39:00,96
WO-0271,PART-5060,Rotor,Line-B,Surface Prep,PREP,Prep-01,2024-06-14 06:03:00,38
WO-0008,PART-6539,Valve Body,Line-C,Shipment,SHIP,Dock-01,2024-06-14 06:17:00,0
WO-0150,PART-7609,Pump Housing,Line-C,Shipment,SHIP,Dock-01,2024-06-14 06:31:00,0
WO-0252,PART-8438,Bracket,Line-B,Quality Check,QC,QA-05,2024-06-14 06:40:00,23
WO-0296,PART-7003,Rotor,Line-C,Cutting,CUT,Laser-02,2024-06-14 06:55:00,41
WO-0271,PART-5060,Rotor,Line-B,Assembly,ASM,Cell-02,2024-06-14 06:56:00,107
WO-0252,PART-8438,Bracket,Line-B,Packaging,PKG,Pack-01,2024-06-14 07:23:00,15
WO-0251,PART-8917,Rotor,Line-A,Surface Prep,PREP,Prep-01,2024-06-14 07:33:00,43
WO-0115,PART-7852,Bracket,Line-A,Quality Check,QC,QA-05,2024-06-14 07:35:00,23
WO-0296,PART-7003,Rotor,Line-C,CNC Machining,CNC,CNC-15,2024-06-14 07:41:00,84
WO-0115,PART-7852,Bracket,Line-A,Packaging,PKG,Pack-01,2024-06-14 08:00:00,25
WO-0251,PART-8917,Rotor,Line-A,Assembly,ASM,Cell-04,2024-06-14 08:25:00,100
WO-0271,PART-5060,Rotor,Line-B,Assembly Rework,ASM,Cell-04,2024-06-14 09:00:00,76
WO-0296,PART-7003,Rotor,Line-C,Surface Prep,PREP,Prep-03,2024-06-14 09:18:00,28
WO-0252,PART-8438,Bracket,Line-B,Shipment,SHIP,Dock-01,2024-06-14 09:30:00,0
WO-0296,PART-7003,Rotor,Line-C,Assembly,ASM,Cell-01,2024-06-14 09:49:00,124
WO-0115,PART-7852,Bracket,Line-A,Shipment,SHIP,Dock-01,2024-06-14 09:54:00,0
WO-0271,PART-5060,Rotor,Line-B,Quality Check,QC,QA-05,2024-06-14 10:21:00,48
WO-0251,PART-8917,Rotor,Line-A,Quality Check,QC,QA-05,2024-06-14 10:30:00,24
WO-0163,PART-3611,Valve Body,Line-B,Cutting,CUT,Laser-01,2024-06-14 10:37:00,48
WO-0251,PART-8917,Rotor,Line-A,Packaging,PKG,Pack-02,2024-06-14 11:15:00,11
WO-0271,PART-5060,Rotor,Line-B,Packaging,PKG,Pack-01,2024-06-14 11:18:00,12
WO-0026,PART-7498,Pump Housing,Line-A,Cutting,CUT,Laser-02,2024-06-14 11:21:00,26
WO-0163,PART-3611,Valve Body,Line-B,CNC Machining,CNC,CNC-15,2024-06-14 11:46:00,78
WO-0296,PART-7003,Rotor,Line-C,Assembly Rework,ASM,Cell-04,2024-06-14 12:02:00,40
WO-0026,PART-7498,Pump Housing,Line-A,CNC Machining,CNC,CNC-12,2024-06-14 12:10:00,106
WO-0271,PART-5060,Rotor,Line-B,Shipment,SHIP,Dock-01,2024-06-14 12:31:00,0
